model,accuracy_mean,accuracy_std,precision,recall,f1_score,auc
LR,0.9588414658865181,0.004942695793773848,0.9882596685082873,0.8871667699938004,0.9349885658281607,0.9974528116750315
NB,0.9620973474048349,0.003235927188370743,0.9801505817932923,0.8877867327960323,0.9316851008458035,0.994058896821085
SVM,0.9755840979419753,0.0031854247543845774,0.9968827930174564,0.9913205207687539,0.9940938762822505,0.9994721266924329
RF,0.9023370674161859,0.0033862242681809976,1.0,0.5561066336019839,0.7147410358565737,0.9911399348666442
GB,0.9595389376106374,0.006052492294001367,0.9958791208791209,0.8989460632362059,0.9449332029977191,0.994724993088852
XGB,0.9598877748199397,0.008911212919157946,0.9880281690140845,0.8698078115313082,0.9251566106165513,0.9906692847999812
ENSEMBLE,0.9620969420158643,0.0069538685430640765,0.9992947813822285,0.8784872907625543,0.9350049488617618,0.9981683239818434
