model,mean_accuracy,std_accuracy
LR,0.9588414658865181,0.004942695793773848
NB,0.9620973474048349,0.003235927188370743
SVM,0.9755840979419753,0.0031854247543845774
RF,0.9023370674161859,0.0033862242681809976
GB,0.9595389376106374,0.006052492294001367
XGB,0.9598877748199397,0.008911212919157946
ENSEMBLE,0.9620969420158643,0.0069538685430640765
